;experiment_id;best_experiment_index;dino_model;normalization;scaler;dim_red;reduction_parameters;clustering;penalty;penalty_range;classification_lvl;lvlm;prompt;eval_method;best_score;homogeneity_global;entropy_global;quality_metric;homogeneity_global_w_noise;entropy_global_w_noise;quality_metric_w_noise
81;14;48;small;True;standard;umap;{'metric': 'cosine', 'n_components': 2, 'n_neighbors': 5, 'min_dist': 0.1};kmeans;;;3;llava1-6_7b;2;silhouette;0.5747920274734497;0.8355704697986577;0.625004881747601;1.3369001703828602;0.8355704697986577;0.625004881747601;1.3369001703828602
82;14;48;small;True;standard;umap;{'metric': 'cosine', 'n_components': 2, 'n_neighbors': 5, 'min_dist': 0.1};kmeans;;;3;llava1-6_13b;1;silhouette;0.5747920274734497;0.7662850375049348;0.8949686521132874;0.8562134321487994;0.7662850375049348;0.8949686521132874;0.8562134321487994
83;14;48;small;True;standard;umap;{'metric': 'cosine', 'n_components': 2, 'n_neighbors': 5, 'min_dist': 0.1};kmeans;;;3;llava1-6_13b;2;silhouette;0.5747920274734497;0.7806948282668772;0.856501548440499;0.911491541605275;0.7806948282668772;0.856501548440499;0.911491541605275
84;15;75;small;True;;umap;{'metric': 'cosine', 'n_components': 17, 'n_neighbors': 7, 'min_dist': 0.1};hdbscan;;;3;llava1-5_7b;1;silhouette;0.7186519503593445;0.8451485148514851;0.5810246503437654;1.4545803861696136;0.8464271614686143;0.8310038970164719;1.0185585722870134
85;15;75;small;True;;umap;{'metric': 'cosine', 'n_components': 17, 'n_neighbors': 7, 'min_dist': 0.1};hdbscan;;;3;llava1-5_7b;2;silhouette;0.7186519503593445;0.8918811881188119;0.41675168780747396;2.1400730318284875;0.8930122384524279;0.5731113361593098;1.5581801020667518
86;15;75;small;True;;umap;{'metric': 'cosine', 'n_components': 17, 'n_neighbors': 7, 'min_dist': 0.1};hdbscan;;;3;llava1-6_7b;1;silhouette;0.7186519503593445;0.7885148514851485;0.7417398528092927;1.063059757998636;0.6630477694433478;1.427868455626117;0.46436161711478247
87;15;75;small;True;;umap;{'metric': 'cosine', 'n_components': 17, 'n_neighbors': 7, 'min_dist': 0.1};hdbscan;;;3;llava1-6_7b;2;silhouette;0.7186519503593445;0.855049504950495;0.5639834666516762;1.5160869766978604;0.6841689696012633;1.369149811567957;0.4997031472506307
88;15;75;small;True;;umap;{'metric': 'cosine', 'n_components': 17, 'n_neighbors': 7, 'min_dist': 0.1};hdbscan;;;3;llava1-6_13b;1;silhouette;0.7186519503593445;0.7932673267326733;0.8106928227711658;0.9785042200285625;0.545992893801816;1.7822904599949814;0.3063432138104693
89;15;75;small;True;;umap;{'metric': 'cosine', 'n_components': 17, 'n_neighbors': 7, 'min_dist': 0.1};hdbscan;;;3;llava1-6_13b;2;silhouette;0.7186519503593445;0.8;0.7820814417420296;1.0229100633151416;0.5675088827477299;1.7192901627859072;0.3300830569198932
90;16;155;base;True;;umap;{'metric': 'cosine', 'n_components': 2, 'n_neighbors': 10, 'min_dist': 0.1};hdbscan;;;3;llava1-5_7b;1;silhouette;0.7584189772605896;0.8657171922685656;0.5078617065169929;1.7046283988950446;0.8521515988945914;0.7806757861259472;1.091554935459696
91;16;155;base;True;;umap;{'metric': 'cosine', 'n_components': 2, 'n_neighbors': 10, 'min_dist': 0.1};hdbscan;;;3;llava1-5_7b;2;silhouette;0.7584189772605896;0.9030179721939641;0.3504760566035057;2.5765394772061994;0.8969601263324122;0.5179447601255392;1.7317645888538749
92;16;155;base;True;;umap;{'metric': 'cosine', 'n_components': 2, 'n_neighbors': 10, 'min_dist': 0.1};hdbscan;;;3;llava1-6_7b;1;silhouette;0.7584189772605896;0.7806035944387928;0.7725886610238675;1.010372819905854;0.6950256612712199;1.2680561003776205;0.5481028110360685
